ID	European %	East Asian %	Native American %	African %	South Asian %	Oceanian %	West Asian %	EUR %
S242	0.458152	0.00001	0.00001	0.00001	0.006673	0.00001	0.535135	0.993287
S243	0.799752	0.00001	0.00001	0.004594	0.00001	0.00001	0.195614	0.995366
S244	0.848707	0.00001	0.00001	0.00001	0.00001	0.00001	0.151243	0.99995
S245	0.336842	0.005311	0.357914	0.061963	0.00001	0.009133	0.228827	0.565669
S246	0.882181	0.00001	0.00001	0.00001	0.009275	0.00001	0.108505	0.990686
S247	0.872163	0.00001	0.00001	0.015523	0.020142	0.000599	0.091554	0.963717
S248	0.933635	0.00001	0.00001	0.00001	0.014235	0.00001	0.05209	0.985725
S249	0.120347	0.032663	0.656763	0.093029	0.000896	0.004275	0.092026	0.212373
S250	0.00001	0.000016	0.987878	0.00001	0.00001	0.00001	0.012066	0.012076
S251	0.85356	0.00001	0.00001	0.00001	0.000116	0.00001	0.146283	0.999843
S252	0.00001	0.00001	0.00001	0.088591	0.00001	0.00001	0.911359	0.911369
S253	0.90538	0.00001	0.000018	0.00001	0.00001	0.00001	0.094562	0.999942
S254	0.239643	0.004687	0.000943	0.693495	0.003487	0.004369	0.053376	0.293019
S255	0.341687	0.01699	0.349545	0.060408	0.00001	0.00001	0.231349	0.573036
S256	0.887338	0.00001	0.00001	0.00001	0.014011	0.00001	0.09861	0.985948
S257	0.00001	0.00001	0.99994	0.00001	0.00001	0.00001	0.00001	0.00002
S258	0.049966	0.040388	0.871953	0.015903	0.014149	0.000118	0.007522	0.057488
S259	0.308881	0.006202	0.001243	0.00001	0.05841	0.00001	0.625244	0.934125
S260	0.309948	0.005026	0.413263	0.087924	0.00001	0.00001	0.183819	0.493767
S261	0.439174	0.003971	0.023113	0.041902	0.00653	0.000637	0.484673	0.923847
S262	0.00001	0.897563	0.00001	0.00001	0.024145	0.078252	0.00001	0.00002
S263	0.00001	0.940234	0.00001	0.00232	0.00001	0.049303	0.008113	0.008123
S264	0.00001	0.899426	0.00001	0.000013	0.021487	0.079043	0.00001	0.00002
S265	0.002069	0.893645	0.00001	0.000576	0.025477	0.072042	0.006181	0.00825
S266	0.263197	0.00001	0.467579	0.055692	0.00001	0.00001	0.213503	0.4767
S267	0.00001	0.962633	0.00001	0.000017	0.00001	0.03731	0.00001	0.00002
S268	0.392485	0.509444	0.000012	0.00001	0.013581	0.00001	0.084459	0.476944
S269	0.412616	0.00001	0.266384	0.069038	0.00001	0.001833	0.250109	0.662725
S270	0.85395	0.00001	0.00001	0.005216	0.015684	0.00001	0.12512	0.97907
S271	0.921197	0.00001	0.00001	0.00001	0.00001	0.00001	0.078753	0.99995
S272	0.175741	0.000012	0.643614	0.052969	0.00001	0.000319	0.127334	0.303075
S273	0.34565	0.015419	0.314447	0.070264	0.00001	0.00001	0.2542	0.59985
S274	0.245086	0.000135	0.502426	0.051884	0.00001	0.003768	0.196691	0.441777
S275	0.243909	0.023414	0.437633	0.083207	0.00001	0.003514	0.208313	0.452222
S276	0.345081	0.006745	0.363484	0.056507	0.00001	0.00001	0.228163	0.573244
S277	0.277363	0.027572	0.450576	0.076833	0.00001	0.00001	0.167636	0.444999
S278	0.266142	0.00001	0.500645	0.069959	0.00001	0.000498	0.162736	0.428878
S279	0.341553	0.006034	0.344387	0.055935	0.00001	0.00001	0.252071	0.593624
S280	0.00001	0.99994	0.00001	0.00001	0.00001	0.00001	0.00001	0.00002
S281	0.00001	0.983723	0.00001	0.00001	0.00888	0.007357	0.00001	0.00002
S282	0.921382	0.00001	0.00001	0.00001	0.00001	0.00001	0.078568	0.99995
S283	0.106827	0.00001	0.813735	0.011129	0.00001	0.00001	0.068278	0.175105
S284	0.784701	0.00001	0.00001	0.00001	0.006033	0.000991	0.208245	0.992946
S285	0.91423	0.009312	0.000243	0.000013	0.025248	0.00001	0.050943	0.965173
S286	0.308226	0.018161	0.377293	0.070347	0.00001	0.00589	0.220073	0.528299
S287	0.00001	0.909151	0.00001	0.00805	0.040597	0.035246	0.006935	0.006945
S288	0.615667	0.000017	0.069146	0.019242	0.00001	0.00001	0.295907	0.911574
S289	0.09902	0.004462	0.00108	0.885049	0.005807	0.00001	0.004572	0.103592
S290	0.202847	0.00001	0.59293	0.067343	0.00001	0.000571	0.136288	0.339135
S291	0.921477	0.004208	0.00001	0.00001	0.01633	0.00001	0.057955	0.979432
S292	0.90348	0.00001	0.00001	0.00001	0.00001	0.00001	0.09647	0.99995
S293	0.458489	0.00001	0.20562	0.018912	0.017849	0.005193	0.293927	0.752416
S294	0.896527	0.00001	0.00001	0.00001	0.00001	0.00001	0.103423	0.99995
S295	0.305882	0.00001	0.483594	0.051796	0.00001	0.00316	0.155546	0.461428
S296	0.00001	0.991977	0.00001	0.00001	0.00558	0.002403	0.00001	0.00002
S297	0.589406	0.00001	0.035438	0.061667	0.00001	0.002396	0.311074	0.90048
S298	0.00001	0.99994	0.00001	0.00001	0.00001	0.00001	0.00001	0.00002
